DateTime,AddedIPs,RemovedIPs
1530602310,57,61
1530604350,41,58
1530606257,39,46
1530608181,38,37
1530610091,17,40
1530614499,17,18
1530616350,11,17
1530618249,54,10
1530620432,27,54
1530622331,24,28
1530628096,54,21
1530630015,27,55
1530631936,39,23
1530633795,28,41
1530640340,25,30
1530644171,18,25
1530646770,32,20
1530650772,49,31
1530656885,55,45
1530658824,32,55
1530660738,17,33
1530662656,14,19
1530664567,21,14
1530666493,35,22
1530668407,26,34
1530670333,55,24
1530672253,49,53
1530674195,50,50
1530676105,51,52
1530678014,47,51
1530679946,18,46
1530681851,59,21
1530683773,21,57
1530685966,58,20
1530687870,16,60
1530690017,39,15
1530691962,34,38
1530693870,49,36
1530695790,20,50
1530697706,18,21
1530700225,15,18
1530702255,18,15
1530704176,36,17
1530710251,32,34
1530712359,43,31
1530718809,44,45
1530720734,47,40
1530722650,53,44
1530724570,43,55
1530727866,25,44
1530729861,58,29
1530731771,49,56
1530735609,55,45
1530737530,10,61
1530739462,61,12
1530741369,64,56
1530743299,60,60
1530745227,35,63
1530747151,54,35
1530749059,49,48
1530750978,30,56
1530754809,40,30
1530760813,59,40
1530764657,39,58
1530766565,53,40
1530768487,52,53
1530770428,52,52
1530772414,38,51
1530774275,42,40
1530776173,57,42
1530780012,25,54
1530781933,24,29
1530783862,22,26
1530786022,10,23
1530787930,15,10
1530789865,63,14
1530792053,54,62
1530793934,35,55
1530798019,41,31
1530799948,42,41
1530801858,52,43
1530807624,40,53
1530809533,32,38
1530813407,28,34
1530815293,37,27
1530817238,19,41
1530819147,30,15
1530823226,34,32
1530825284,51,34
1530827294,62,52
1530829217,22,62
1530831149,40,20
1530835709,37,37
1530839538,32,40
1530841470,38,29
1530843379,59,38
1530845318,48,58
1530847283,60,49
1530849166,41,57
1530852995,48,46
1530856841,34,46
1530858751,52,33
1530860668,33,50
1530862595,33,37
1530864502,33,31
1530866417,31,37
1530868350,16,32
1530870357,21,17
1530872554,12,22
1530874585,25,12
1530876517,50,24
1530878466,44,50
1530882278,30,41
1530884557,60,33
1530886361,50,59
1530888265,45,51
1530892339,24,40
1530894264,52,29
1530898101,49,50
1530900031,19,48
1530901937,23,20
1530903870,35,21
1530905772,27,36
1530907712,24,26
1530909623,21,25
1530911542,52,20
1530913466,38,52
1530917298,59,40
1530919231,37,60
1530923054,55,30
1530924978,60,59
1530926895,51,62
1530928834,49,50
1530930751,60,47
1530932662,57,59
1530934575,57,58
1530936750,64,56
1530940581,55,65
1530942494,64,56
1530944443,47,65
1530946347,54,43
1530948262,62,54
1530950170,50,63
1530954037,30,49
1530955950,20,37
1530958146,20,20
1530960021,54,20
1530961943,38,53
1530963853,64,39
1530965795,57,61
1530969623,53,57
1530971545,62,54
1530973466,56,61
1530975382,58,56
1530977295,48,57
1530979229,44,51
1530981151,46,39
1530983058,55,41
1530986917,52,57
1530990735,41,58
1530992669,48,42
1530994584,45,44
1530996506,43,46
1530998420,42,43
1531000351,49,45
1531002252,56,48
1531005412,50,55
1531007310,52,47
1531009223,32,56
1531011146,57,30
1531013071,43,58
1531014968,60,45
1531016902,53,57
1531018827,50,51
1531020753,53,50
1531022673,53,58
1531024817,59,51
1531026743,55,57
1531028659,50,50
1531030585,61,57
1531032500,44,55
1531034426,57,47
1531036343,56,58
1531038266,36,60
1531040175,45,35
1531042091,15,47
1531044045,56,12
1531046186,58,53
1531048117,49,62
1531050022,58,49
1531051943,42,57
1531053856,45,42
1531055792,50,44
1531057696,61,51
1531060231,53,62
1531062262,53,50
1531064304,52,53
1531066441,46,48
1531068375,53,45
1531070295,29,62
1531072462,28,25
1531074486,48,27
1531076489,31,50
1531078333,34,31
1531080268,27,38
1531082180,33,26
1531084339,59,32
1531086249,47,58
1531088805,55,47
1531090824,29,58
1531092738,16,29
1531094659,19,16
1531096568,17,16
1531098849,39,16
1531100659,39,39
1531102573,39,39
1531105002,60,38
1531106889,45,56
1531108824,54,40
1531110994,48,54
1531112907,48,52
1531114824,28,58
1531116746,47,25
1531118666,59,45
1531120581,51,58
1531122495,53,51
1531126368,26,60
1531128260,20,26
1531130178,26,20
1531132100,23,27
1531134025,41,23
1531135957,37,31
1531138108,33,34
1531141943,45,38
1531143862,43,43
1531145789,25,51
1531147708,48,25
1531149632,51,48
1531151544,26,48
1531153467,60,29
1531157292,54,58
1531159236,29,56
1531163295,20,29
1531165465,37,21
1531167379,22,35
1531169806,34,22
1531171703,52,34
1531173635,20,51
1531175533,12,19
1531177465,25,14
1531179615,18,25
1531181531,14,18
1531183462,38,13
1531185385,19,37
1531187299,38,22
1531189224,45,33
1531191137,24,44
1531193064,42,27
1531194971,19,45
1531196901,58,16
1531198828,21,56
1531200741,28,26
1531202904,19,25
1531204815,53,20
1531206732,52,54
1531208663,57,52
1531210588,28,54
1531212497,56,31
1531214407,24,58
1531218255,23,25
1531220181,30,23
1531222091,20,29
1531225934,38,19
1531230035,35,34
1531231955,25,34
1531233872,36,30
1531235794,24,35
1531237701,30,24
1531239622,28,29
1531241551,27,28
1531243470,60,28
1531245375,25,60
1531247304,58,26
1531249222,26,60
1531253060,22,24
1531254996,24,20
1531258827,29,24
1531260746,24,30
1531262658,44,22
1531266496,49,45
1531268447,15,49
1531270335,55,13
1531272261,43,57
1531274173,36,42
1531276089,53,36
1531278019,26,51
1531279931,37,28
1531281860,20,34
1531285725,21,25
1531289542,55,22
1531291468,49,53
1531293404,32,49
1531295306,33,32
1531297218,34,33
1531299149,29,31
1531301060,17,33
1531302983,18,18
1531304895,12,19
1531306835,40,13
1531308759,38,32
1531312584,17,42
1531314500,19,17
1531316430,40,20
1531318356,40,36
1531320257,50,45
1531322183,30,50
1531324103,38,27
1531326254,46,37
1531328185,21,50
1531330093,57,18
1531332025,18,59
1531333954,35,21
1531335865,22,28
1531339720,19,28
1531341617,18,18
1531343543,35,16
1531345464,54,35
1531347654,19,56
1531349532,29,16
1531351456,54,29
1531355301,43,53
1531357233,17,46
1531359150,22,19
1531361072,15,22
1531362985,21,13
1531364898,18,14
1531368736,26,25
1531370657,48,23
1531372602,38,51
1531376423,49,38
1531378356,42,49
1531380261,47,45
1531384110,36,44
1531386036,28,36
1531387938,12,30
1531389883,11,11
1531391772,23,13
1531393717,42,19
1531395624,41,42
1531397563,15,42
1531399468,58,18
1531403306,52,56
1531405232,25,50
1531407136,38,26
1531409075,43,40
1531410974,12,41
1531412912,38,15
1531414830,15,38
1531418666,18,13
1531420575,28,18
1531422741,27,29
1531424675,55,25
1531428499,48,57
1531430424,34,45
1531432345,23,36
1531434768,25,23
1531436659,19,22
1531438582,24,23
1531440503,22,23
1531442413,21,22
1531444336,43,21
1531448173,28,42
1531450342,12,27
1531452273,57,14
1531456090,60,53
1531458030,31,62
1531460197,25,34
1531462101,33,24
1531464021,38,31
1531465939,43,37
1531467867,53,42
1531471695,53,52
1531473623,26,57
1531475552,22,27
1531477471,45,22
